Verse number;English;Basque;gloss;marker;allomorph;type;remarks;semantics
41010025;It is easier for a camel to go <through the eye of a needle>, than for a rich man to enter into the kingdom of God.;<Orratzaren begitik> gamelua igarotzea errazago, aberatsa Jainkoaren erreinuan sartzea baino.;needle-SG-GEN eye-ABL;–tik;;postposition;PROLATIVE;
41010032;"And they were in the way going up to Jerusalem; and Jesus went <before them>: and they were amazed; and as they followed, they were afraid. And he took again the twelve, and began to tell them what things should happen unto him";"Jerusalemerako bidean gora zihoazen, eta Jesus <aurretik>. Txunditurik zeuden; jarraitzen ziotenak beldurrez zihoazen. Berriro Hamabiak beregana bildu, eta zer gertatuko zitzaion adierazten hasi zitzaien:";before-ABL;–tik;;postposition;PROLATIVE;deictic?
41010038;But Jesus said unto them, Ye know not what ye ask: can ye drink <of the cup> that I drink of? and be baptized with the baptism that I am baptized with?;Jesusek esan zien: –Ez dakizue zer eskatzen ari zareten. Gauza al zarete nik edan behar dudan <edari saminetik> edateko, edo nik murgildu behar dudan uretan murgiltzeko?;beverage bitter-ABL;–tik;;postposition;PARTITIVE;liquid
41010039;"And they said unto him, We can. And Jesus said unto them, Ye shall indeed drink of the cup that I drink of; and with the baptism that I am baptized withal shall ye be baptized:";"–Bai, gauza gara –esan zioten.
Jesusek, orduan: –Nik edan behar dudan edari saminetik, bai, edango duzue, baita nik murgildu behar dudan uretan murgilduko ere";beverage bitter-ABL;–tik;;postposition;PARTITIVE;edible
41011004;"And they went their way, and found the colt <tied by the door without> in a place where two ways met; and they loose him.";Joan ziren, bada, eta han aurkitu zuten astakumea <ate ondo batean kanpotik lotuta>, eta askatzen hasi ziren;door side one-INE outside-ABL;–tik;;postposition;PROLATIVE;
41011009;"And they that went <before>, and they that followed, cried, saying, Hosanna; Blessed is he that cometh in the name of the Lord:";<Aurretik> eta atzetik zihoazenek honela zioten oihuka: «Hosanna! Bedeinkatua Jaunaren izenean datorrena!;before-ABL;–tik;;postposition;PROLATIVE;deictic?
41011009a;"And they that went before, and they that followed, cried, saying, Hosanna; Blessed is he that cometh in the name of the Lord:";Aurretik eta <atzetik> zihoazenek honela zioten oihuka: «Hosanna! Bedeinkatua Jaunaren izenean datorrena!;behind-ABL;–tik;;postposition;PROLATIVE;deictic?
41011013;"And <seeing a fig tree afar> off having leaves, he came, if haply he might find any thing thereon: and when he came to it, he found nothing but leaves; for the time of figs was not yet.";"Hostotan zegoen pikondo bat <urrutitik ikusirik>, bertara joan zen, ea pikurik aurkitzen zuen; baina ondora iristean, ez zuen hostoa besterik aurkitu, ez baitzen piku-sasoia. ";far-ABL see-PFV-RES;–tik;;postposition;The given Basque word for FAR, urruti, includes the old PROL/ABL marker -ti. Thus, from diachronic perspective this is a pleonastik form that can be analyzed as [away-ABL-ABL].;deictic
41011023;"For verily I say unto you, That whosoever shall say unto this mountain, <Be thou removed>, and be thou cast into the sea; and shall not doubt in his heart, but shall believe that those things which he saith shall come to pass; he shall have whatsoever he saith.";Benetan diotsuet: Norbaitek esaten badio mendi honi: «<Ken hadi hortik> eta amildu itsasora», eta mendiari agindu diona gertatuko dela zalantzarik gabe sinesten badu, halaxe gertatuko zaio. ;remove IMP.INTR.2SG there-ABL;–tik;;postposition;SOURCE is not expressed in the English version.;deictic
41012002a;And at the season he sent to the husbandmen a servant, that he might receive from the husbandmen <of the fruit of the vineyard>.;Bere garaian, morroi bat bidali zien nekazariei, <mahastiaren fruitutik> zegokion partea jasotzera.;vineyard-SG-GEN fruit-ABL;–tik;;postposition;PARTITIVE;edible
41012034;And when Jesus saw that he answered discreetly, he said unto him, Thou art not <far from the kingdom of God>. And no man after that durst ask him any question.;Eta Jesusek, zuhurki erantzun ziola ikusirik, esan zion: –Ez zaude <Jainkoaren erreinutik urruti>.;God-SG-GEN kingdom-ABL far;–tik;;postposition;DISTANCE;
41012044;"For all they did cast in <of their abundance>; but she of her want did cast in all that she had, even all her living.";"Izan ere, beste guztiek <sobera dutenetik> eman dute; honek, ordea, bere eskasian, zeukan guztia, bizitzeko behar zuena, eman du».";excess have.E3PL>A1SG-REL-ABL;–tik;;postposition;PARTITIVE;
41013019;For in those days shall be affliction, such as was not <from the beginning of the creation> which God created unto this time, neither shall be.;"Zeren egun haiek egun larriak izango baitira; ez da horrelako larrialdirik izan Jainkoak sortu zuen <mundu honen hasieratik> orain arte, ezta izango ere.";world this.OBL-GEN beginning-ABL;–tik;;postposition;TIME;time
41013023;But take ye heed: behold, I have foretold you all things.;Zuek, beraz, kontu izan! Jakinaren gainean jarri zaituztet <aldez aurretik.>;place-INS before-ABL;–tik;;postposition;TIME;time
41013025;And the stars of heaven shall fall, and the powers that are in heaven shall be shaken.;izarrak <zeru goitik> amiltzen hasiko dira eta ortzia dardarka ariko.;heaven top-ABL;–tik;;postposition;Basque example expresses SOURCE of the verb FALL.;
41013028;"Now learn a parable of the fig tree; When her branch is yet tender, and putteth forth leaves, ye know that summer is near:";«Ikasi <pikondoaren irudi honetatik>: kimua berritzen eta hostoa zabaltzen zaioneko, badakizue uda hurbil dela. ;fig tree-GS-GEN parable this-ABL;–tik;;postposition;Metaphorical source;abstract
41014005;For it might have been sold <for more than three hundred pence>, and have been given to the poor. And they murmured against her.;<Hirurehun denarioz goitik> sal zitekeen eta dirua behartsuei eman. Eta marmarrean ari ziren emakumearen kontra.;three hundred pence-INS up-ABL;–tik;;postposition;PROLATIVE? ;quantor?
41014008;She hath done what she could: she is come <aforehand> to anoint my body to the burying. ;Ahal zuena egin du: nire gorputza ukenduz igurtzi du <aldez aurretik> hilobirako.;place-INS before-ABL;–tik;;postposition;TIME;time
41014020;And he answered and said unto them, It is one of the twelve, that dippeth with me in the dish.;Jesusek erantzun: –Hamabiotako batek, nirekin <plater beretik> jaten ari denak. ;dish same-ABL;–tik;;postposition;PARTITIVE;edible
41015036;"And one ran and filled a spunge full of vinegar, and put it on a reed, and gave
him to drink, saying, Let alone; let us see whether Elias will come to take him down.";Orduan, batek, lasterka joan, belaki bat ozpinetan busti eta, kanabera bati muturrean erantsiz, edatera eman zion, esanez: «Egon, ea datorkion Elias <gurutzetik eraistera>».;cross-ABL take down-NMLZ-ALL;–tik;;postposition;SOURCE is not expressed in the English version.;artifact
41015040;"There were also women <looking on afar off>: among whom was Mary Magdalene, and Mary the mother of James the less and of Joses, and Salome;";"Baziren han emakume batzuk ere, <urrutitik begira>; haien artean, Magdalako Maria, Santiago gaztearen eta Joseren ama Maria, eta Salome.";far-ABL look;–tik;;postposition;The given Basque word for FAR, urruti, includes the old PROL/ABL marker -ti. Thus, from diachronic perspective this is a pleonastik form that can be analyzed as [away-ABL-ABL].;deictic
41015046;And he bought fine linen, and took him down, and wrapped him in the linen, and laid him in a sepulchre which was hewn out of a rock, and rolled a stone unto the door of the sepulchre.; Honek izara bat erosi eta, <Jesus gurutzetik eraitsirik>, izaran bildu zuen eta haitzean zulaturiko hilobi batean ezarri. Gero, harri bat irauliz, hilobiko sarrera itxi zuen. ;cross-ABL take_down-PFV-RES;–tik;;postposition;SOURCE is not expressed in the English version.;artifact
41006011;And whosoever shall not receive you, nor hear you, <when ye depart thence>, shake off the dust under your feet for a testimony against them. Verily I say unto you, It shall be more tolerable for Sodom and Gomorrha in the day of judgment, than for that city.;Eta nonbait onartzen ez bazaituztete eta entzun nahi ez, <handik alde egitean>, astindu zeuen oinetako hautsa, beraien kontrako seinaletzat».;there-ABL escape do.NMLZ-INE;–tik;–dik;postposition;;deictic
41007006;He answered and said unto them, Well hath Esaias prophesied of you hypocrites, as it is written, This people honoureth me with their lips, but their heart is <far from me>.;"Jesusek erantzun zien: –Itxurazaleok halakook! Ederki asko esan zuen zuetaz Isaias profetak, honako hau idatzi zuenean: Herri honek ezpainez ohoratzen nau, baina <niregandik urrun> du bihotza; ";1SG-GEN-ANIM-ABL;–tik;–dik;postposition;DISTANCE;person
41007019;Because it entereth not into his heart, but into the belly, and goeth out into the draught, purging all meats?;Sartu, ez baitzaio bihotzera sartzen, sabelera baizik, eta <handik> komun-zulora.;there-ABL;–tik;–dik;postposition;SOURCE is not expressed in the English version.;deictic
41009002;And after six days Jesus taketh with him Peter, and James, and John, and leadeth them up into an high mountain apart by themselves: and he was transfigured before them.;<Handik sei egunera>, Jesusek Pedro, Santiago eta Joan hartu eta mendi garai batera eraman zituen aparte. Eta antzaldatu egin zen haien aurrean;there-ABL six day-ALL;–tik;–dik;postposition;TIME;temporal deixis
41009021;And he asked his father, How long is it ago since this came unto him? And he said, <Of a child>.;Jesusek mutilaren aitari galdetu zion: –Noiztik dago horrela? Hark erantzun: –<Umetandik>.;childhood-ABL;–tik;–dik;postposition;TIME. The ABL marker -tik is added to a INESSIVE NP lexicalized as 'in/during the childhood'. child-PL-INE-ABL;time
41009030;"And they <departed thence>, and passed through Galilee; and he would not that any man should know it.";<Handik> atera eta Galilean zehar zebiltzan. Jesusek ez zuen inork jakiterik nahi,;there-ABL depart.PFV;–tik;–dik;postposition;;deictic
41010020;And he answered and said unto him, Master, all these have I observed <from my youth>.;Hark, orduan: –Maisu, <gazte-gaztetandik> bete izan dut hori guztia.;youth-ABL;–tik;–dik;postposition;"TIME. The ABL marker -tik is added to a INESSIVE NP lexicalized as 'in/during the youth'; moreover, the base shows reduplication: young-young-PL-INE-ABL";time
41010034;And they shall mock him, and shall scourge him, and shall spit upon him, and shall kill him: and the third day he shall rise again.;"hauek iseka egingo diote eta listua botako, zigortu eta hil egingo; baina <handik hiru egunera piztu egingo da».";there-ABL three day-ALL;–tik;–dik;postposition;TIME;temporal deixis
41010036;And he said unto them, What would ye that I should do for you?;Jesusek galdetu zien: –Zer nahi duzue, bada, <niregandik>?;1SG-GEN-ANIM-ABL;–tik;–dik;postposition;(Metaphorical) SOURCE is not expressed in the English version.;person
41010051;And Jesus answered and said unto him, What wilt thou that I should do unto thee? The blind man said unto him, Lord, that I might receive my sight.;Jesusek galdegin zion: –Zer nahi duzu <niregandik>? Itsuak erantzun: –Berriro ikustea, Jauna.;1SG-GEN-ANIM-ABL;–tik;–dik;postposition;(Metaphorical) SOURCE is not expressed in the English version.;person
41011014;And Jesus answered and said unto it, No man eat fruit <of thee> hereafter for ever. And his disciples heard it.;Orduan, pikondoari esan zion: «Ez dezala gehiago inork <hiregandik> fruiturik jan!» Bere ikasleek ere entzun zioten.;2SG-GEN-ANIM-ABL;–tik;–dik;postposition;Metaphorical source;vegetable
41011020;And in the morning, as they passed by, they saw the fig tree dried up from the roots.;Hurrengo goizean goiz, <handik> igarotzean, pikondoa sustraietaraino ihartua ikusi zuten.;there-ABL;–tik;–dik;postposition;PROLATIVE;deictic
41014001;After two days was the feast of the passover, and of unleavened bread: and the chief priests and the scribes sought how they might take him by craft, and put him to death.; <Handik bi egunera>, Pazko-jaia eta Legamia gabeko Ogien Jaia ospatzen ziren. Apaizburu eta lege-maisuak Jesus maltzurkeriaz nola atxilotuko zebiltzan, hiltzeko.;there-ABL two day-ALL;–tik;–dik;postposition;TIME;temporal deixis
41015021a;And they compel one Simon a Cyrenian, who passed by, coming out of the country, the father of Alexander and Rufus, to bear his cross.;Sorotik etxerakoan <handik> zihoan bat, Simon Zirenekoa (Alexandro eta Ruforen aita), Jesusen gurutzea eramatera behartu zuten.;there-ABL;–tik;–dik;postposition;PROLATIVE;deictic
41015029;And they that passed by railed on him, wagging their heads, and saying, Ah, thou that destroyest the temple, and buildest it in three days,;<Handik> igarotzen zirenek irain egiten zioten Jesusi, buruari eragin eta esanez: «Hara, santutegia desegin eta hiru egunetan eraikitzen omen duena!;there-ABL;–tik;–dik;postposition;PROLATIVE;deictic
